"","Chunk","ChunkHash","B"
"767","smb",767,-8.01035958891978
"768","sms",768,-8.01035958891978
"769","soa",769,-8.01035958891978
"770","social",770,-8.01035958891978
"771","sockets",771,-6.91108306907481
"772","software",772,-7.31688034792179
"773","software-development",773,-8.01035958891978
"774","software-distribution",774,-8.01035958891978
"775","software-engineering",775,-6.39959277263563
"776","software-factory",776,-8.01035958891978
"777","software-industry",777,-8.01035958891978
"778","software-lifecycle",778,-8.01035958891978
"779","software-tools",779,-8.01035958891978
"780","sorting",780,-6.91108306907481
"781","source-code",781,-8.01035958891978
"782","spl",782,-8.01035958891978
"783","sqa",783,-8.01035958891978
"784","sql",784,-4.30844736888416
"785","sql-injection",785,-7.31688034792179
"786","sql-server",786,-4.04203860952016
"787","sql-server-2005",787,-6.91108306907481
"788","sql-server-2008",788,-8.01035958891978
"789","sqlite",789,-6.39959277263563
"790","ssh",790,-6.91108306907481
"791","ssl",791,-6.91108306907481
"792","ssp",792,-8.01035958891978
"793","stack",793,-8.01035958891978
"794","standards",794,-8.01035958891978
"795","startups",795,-7.31688034792179
"796","static-analysis",796,-7.31688034792179
"797","statistics",797,-7.31688034792179
"798","storage",798,-8.01035958891978
"799","stress-testing",799,-7.31688034792179
"800","string",800,-6.06245542125761
"801","string.format",801,-8.01035958891978
"802","stringbuilder",802,-8.01035958891978
"803","stsadm",803,-8.01035958891978
"804","subclipse",804,-7.31688034792179
"805","subdomain",805,-8.01035958891978
"806","subsonic",806,-8.01035958891978
"807","svn",807,-4.47298242809712
"808","swing",808,-8.01035958891978
"809","swt",809,-8.01035958891978
"810","sybase",810,-8.01035958891978
"811","symlink",811,-8.01035958891978
"812","syntax",812,-6.62306871551015
"813","sysobjects",813,-8.01035958891978
"814","system",814,-8.01035958891978
"815","t4",815,-8.01035958891978
"816","tabs",816,-8.01035958891978
"817","tag-cloud",817,-8.01035958891978
"818","tdd",818,-5.81047543554781
"819","teaching",819,-6.62306871551015
"820","team",820,-6.62306871551015
"821","teamcity",821,-8.01035958891978
"822","teamwork",822,-6.39959277263563
"823","templates",823,-8.01035958891978
"824","terminal",824,-8.01035958891978
"825","ternary-operator",825,-8.01035958891978
"826","testdriven.net",826,-8.01035958891978
"827","testing",827,-5.44141821018871
"828","testng",828,-8.01035958891978
"829","text",829,-7.31688034792179
"830","text-editor",830,-8.01035958891978
"831","text-files",831,-8.01035958891978
"832","textwrangler",832,-8.01035958891978
"833","tfs",833,-6.62306871551015
"834","theory",834,-6.91108306907481
"835","throttle",835,-8.01035958891978
"836","time",836,-7.31688034792179
"837","timer",837,-6.62306871551015
"838","timespan",838,-8.01035958891978
"839","timezone",839,-7.31688034792179
"840","title-case",840,-8.01035958891978
"841","tools",841,-4.95917490137094
"842","tortoisesvn",842,-6.62306871551015
"843","training",843,-8.01035958891978
"844","transcode",844,-8.01035958891978
"845","tree",845,-6.91108306907481
"846","treeview",846,-8.01035958891978
"847","triggers",847,-7.31688034792179
"848","tsql",848,-6.91108306907481
"849","turing-complete",849,-8.01035958891978
"850","turing-machines",850,-8.01035958891978
"851","turkish",851,-8.01035958891978
"852","tutorials",852,-5.70478197498928
"853","type-safety",853,-7.31688034792179
"854","types",854,-8.01035958891978
"855","ubuntu",855,-6.62306871551015
"856","unicode",856,-6.62306871551015
"857","union",857,-8.01035958891978
"858","unique",858,-8.01035958891978
"859","unit-testing",859,-4.95917490137094
"860","unix",860,-5.17182000058089
"861","unsigned-integer",861,-8.01035958891978
"862","update",862,-8.01035958891978
"863","upload",863,-6.91108306907481
"864","url",864,-7.31688034792179
"865","url-rewriting",865,-7.31688034792179
"866","url-routing",866,-8.01035958891978
"867","usability",867,-7.31688034792179
"868","user",868,-8.01035958891978
"869","user-interface",869,-4.91232060527163
"870","usercontrols",870,-7.31688034792179
"871","usersgroup",871,-7.31688034792179
"872","utf-8",872,-8.01035958891978
"873","utilities",873,-8.01035958891978
"874","uuid",874,-8.01035958891978
"875","vague",875,-8.01035958891978
"876","validation",876,-6.91108306907481
"877","variables",877,-8.01035958891978
"878","vb.net",878,-4.95917490137094
"879","vb6",879,-6.39959277263563
"880","vb6-migration",880,-8.01035958891978
"881","vbscript",881,-7.31688034792179
"882","vc6",882,-8.01035958891978
"883","vdproj",883,-8.01035958891978
"884","verification",884,-8.01035958891978
"885","version-control",885,-5.11432775265339
"886","versioning",886,-8.01035958891978
"887","versions",887,-7.31688034792179
"888","vfp",888,-8.01035958891978
"889","vi",889,-8.01035958891978
"890","video",890,-6.39959277263563
"891","video-streaming",891,-8.01035958891978
"892","views",892,-8.01035958891978
"893","viewstate",893,-7.31688034792179
"894","vim",894,-7.31688034792179
"895","virtual",895,-8.01035958891978
"896","virtual-directory",896,-8.01035958891978
"897","virtualization",897,-7.31688034792179
"898","vista64",898,-8.01035958891978
"899","visual-c++",899,-8.01035958891978
"900","visual-studio",900,-4.33410148089045
"901","visual-studio-2008",901,-8.01035958891978
"902","visualsvn-server",902,-8.01035958891978
"903","vmware",903,-7.31688034792179
"904","voronoi",904,-8.01035958891978
"905","vpn",905,-6.62306871551015
"906","vsx",906,-8.01035958891978
"907","w3c",907,-8.01035958891978
"908","warcraft",908,-8.01035958891978
"909","warnings",909,-8.01035958891978
"910","wcf",910,-6.62306871551015
"911","web",911,-4.78348372138451
"912","web-applications",912,-5.70478197498928
"913","web-design",913,-8.01035958891978
"914","web-development",914,-5.52179419565237
"915","web-scraping",915,-8.01035958891978
"916","web-services",916,-5.60913873939504
"917","web2.0",917,-8.01035958891978
"918","webbrowser",918,-8.01035958891978
"919","webcam",919,-8.01035958891978
"920","webcontrols",920,-8.01035958891978
"921","webforms",921,-8.01035958891978
"922","webserver",922,-7.31688034792179
"923","website",923,-6.91108306907481
"924","websphere",924,-6.62306871551015
"925","webstart",925,-8.01035958891978
"926","wgs84",926,-8.01035958891978
"927","whats-your-favourite",927,-8.01035958891978
"928","whitespace",928,-8.01035958891978
"929","wiki",929,-8.01035958891978
"930","winapi",930,-6.06245542125761
"931","windows",931,-4.41515242255967
"932","windows-installer",932,-7.31688034792179
"933","windows-mobile",933,-6.62306871551015
"934","windows-nt",934,-8.01035958891978
"935","windows-server-2003",935,-8.01035958891978
"936","windows-server-2008",936,-7.31688034792179
"937","windows-services",937,-8.01035958891978
"938","windows-vista",938,-7.31688034792179
"939","windows-xp",939,-8.01035958891978
"940","winforms",940,-5.60913873939504
"941","wing-ide",941,-8.01035958891978
"942","winhelp",942,-8.01035958891978
"943","wireless",943,-8.01035958891978
"944","wix",944,-8.01035958891978
"945","wmi",945,-8.01035958891978
"946","wordpress",946,-8.01035958891978
"947","work-hours",947,-8.01035958891978
"948","workflow",948,-7.31688034792179
"949","workstations",949,-8.01035958891978
"950","wow",950,-8.01035958891978
"951","wpf",951,-6.21693871376047
"952","ws-security",952,-8.01035958891978
"953","wss",953,-8.01035958891978
"954","wysiwyg",954,-8.01035958891978
"955","x11",955,-8.01035958891978
"956","x86",956,-7.31688034792179
"957","xaml",957,-7.31688034792179
"958","xampp",958,-8.01035958891978
"959","xcode",959,-8.01035958891978
"960","xelement",960,-8.01035958891978
"961","xen",961,-8.01035958891978
"962","xfdl",962,-8.01035958891978
"963","xhtml",963,-6.62306871551015
"964","xming",964,-8.01035958891978
"965","xml",965,-5.52179419565237
"966","xml-comments",966,-8.01035958891978
"967","xml-sig",967,-8.01035958891978
"968","xmp",968,-8.01035958891978
"969","xna",969,-8.01035958891978
"970","xsd",970,-8.01035958891978
"971","xslt",971,-6.91108306907481
"972","xss",972,-8.01035958891978
"973","xul",973,-8.01035958891978
"974","xulrunner",974,-8.01035958891978
"975","yahoo",975,-8.01035958891978
"976","youtube",976,-8.01035958891978
"977","zend-studio",977,-8.01035958891978
"978","zip",978,-8.01035958891978
"979","zos",979,-8.01035958891978
